Word,Negative,Positive
gallons,-1.301665187,0.368244499
alphonse,-1.285752892,0.822076261
weve,-2.344636679,0.789136648
{,-1.596290827,0.469636917
impaired,-0.489592522,0.960489571
oft-heard,-0.016983973,0.202739954
tougaloo,-1.022251964,0.865835249
not-so-junior,-1.863383889,0.151523679
manufacturers,-2.789565802,0.684677124
gunnery,-0.656105518,0.599006593
balaz,-0.366124868,0.422451526
meal,-0.280568153,0.670770109
nassau,-1.201372623,0.416628599
hercules,-0.095063969,1.999572754
palestinian,-0.534102023,1.698062658
laundering,-0.313969135,0.634938002
1957,-0.450716704,0.322917759
classify,-0.396916747,0.155621827
s-1,-1.312419653,0.464226067
knoweth,-2.277639151,0.400162369
camarena,-1.545884013,1.041224241
205,-0.758095264,0.41250217
tramp,-0.948607147,1.173832059
deterrents,-0.980101168,0.395579755
divisive,-0.384425581,0.710086703
blonde,-0.288504779,0.125544101
weather,-0.111987874,1.217009068
over,-0.269023716,0.366711229
kerner,-0.246219084,1.157730937
rican,-0.823415935,0.811918139
flyers,-1.459470749,0.271604329
guibba,-1.105398059,0.541116476
hermlan,-0.260961026,0.453569204
women,-0.550951481,1.154689074
charles,-0.896255136,0.243869469
digit,-0.08077611,1.009660482
swimmers,-0.010549857,0.317388594
semo,-1.006862164,0.025887618
interfaith,-1.396654487,0.06744986
baby-boomers,-1.279585004,1.215505719
pamphlets,-0.023348883,0.142694294
arkansas,-0.965327203,0.090658769
autographing,-0.554360807,1.481599569
violin,-0.550530195,0.102675527
medicine.,-1.313027024,0.865855873
anthony,-1.853278518,0.17786561
vcr,-0.889095783,0.809238195
25-year-old,-0.431378663,1.251452088
well-coordinated,-2.169530392,0.719573438
epstein,-0.289884716,0.539548934
well-made,-0.981381357,0.009916306
kake,-2.735933781,0.21705094
me,-0.231634408,0.794995964
chita,-0.242234737,0.13693355
olympics,-1.465905547,0.708836257
wealth-creating,-1.561709285,1.335877538
'75,-0.492682904,0.132212609
hoyos,-0.506671906,1.460539579
shoving,-1.279846311,1.302760243
columba,-1.188044906,0.205609322
gadhafi,-1.318927169,0.468888015
monstrous,-1.661204338,0.387551397
where,-1.630366206,0.0494764
cause,-1.478938818,0.339526832
baffles,-0.473115802,2.10491395
filler,-1.391759872,0.315209627
participant,-0.706615031,0.002131932
correspondent,-0.411118746,0.015690641
armenian,-0.982844949,0.659235716
negrotti,-1.679773331,0.659537137
centreville,-0.500007272,0.532662094
irreverence,-1.137466788,0.098975986
laboratory,-0.383280903,0.010406934
pa,-0.141652152,0.816030681
fencing,-2.874058723,1.330552459
high-jump,-1.993323326,1.51955092
hoff,-0.89449805,0.503480196
1960,-0.646570921,0.389521837
sumerians,-0.291470826,1.044879794
picnic,-0.825224698,0.635759115
middlesbrough,-0.877316296,0.027231969
debeers,-1.082551122,1.01402688
villanova,-0.369000733,0.15136525
t-do,-0.24257046,0.414937705
admitted,-0.030947646,1.149478912
infuse,-0.557408035,0.229321972
hooked,-1.740500331,0.200481728
attempts,-0.587571204,1.538670421
launchers,-0.146274671,1.113532066
alternate,-0.079681106,1.664433241
staff,-0.315055549,0.055302985
sergio,-1.273101449,0.342991829
terrorist,-0.264231294,0.44153741
equations,-0.512789488,1.763482571
aisles,-1.322050095,2.161272287
greenock,-1.840829253,0.461499602
aloha,-0.812607765,0.956997395
empower,-1.050212979,0.311326116
enlarging-up,-0.88877368,0.696137488
stealing,-0.678693354,0.536958992
cityyear,-0.871097207,1.754622221
sophistication,-0.124126762,1.091360688
reflective,-0.039792277,1.0033952
54-a-month,-0.741922855,0.904531837
outskirts,-0.426023036,1.505603433
secretary-designate,-0.559270203,0.079826176
manual,-0.401380181,0.729383528
singler,-0.732478678,0.113693357
germaine,-2.207953453,1.053790927
blossom,-0.43603304,0.15647465
abm,-0.247433767,0.164572656
holstein,-0.009858431,0.892256439
kirtland,-0.419752002,0.558670342
chrysler,-0.044281356,0.016527893
chp,-1.553827047,0.712420225
para,-0.646726608,0.713716149
reinvolved,-0.386082768,0.028899029
finnegan,-0.437319547,0.527231157
cullinane,-0.313416451,0.609736323
en,-0.878690124,0.601296604
evangelist,-1.870721221,0.140104771
savannah,-0.176695332,0.741866827
lyndsey,-0.279575586,0.936532557
refinancings,-2.699428558,0.457254946
candi,-0.102872595,0.065422699
highbinders,-0.334694952,0.640634954
biltmore,-0.585257471,1.363414049
