Word,Joint_Prob,Posterior_Prob,Frequency
quicksand,4.374999999999999,0.8749999999999998,5
heney,4.1666666666666705,0.833333333333334,5
natoma,3.7777777777777777,0.9444444444444444,4
—on,3.7499999999999987,0.6249999999999998,6
mit,3.666666666666665,0.6111111111111108,6
.,3.596472508159679,0.5137817868799541,7
sudan,3.4999999999999996,0.5833333333333333,6
harley-davidson,3.499999999999999,0.8749999999999998,4
cascadia,3.333333333333336,0.833333333333334,4
haiku,3.333333333333336,0.833333333333334,4
dunham,3.333333333333336,0.833333333333334,4
din,3.2692307692307714,0.6538461538461543,5
cox,3.2142857142857144,0.6428571428571429,5
stephen,3.152173913043477,0.6304347826086955,5
job,3.0205724508050076,0.6041144901610015,5
bearden,3.0,0.75,4
piazza,3.0,0.75,4
sloan,3.0,0.75,4
keisa,3.0,0.75,4
jendayi,3.0,0.75,4
—-,2.8750000000000027,0.9583333333333341,3
libya,2.7371134020618557,0.9123711340206186,3
junker,2.7000000000000006,0.9000000000000002,3
duf,2.7000000000000006,0.9000000000000002,3
baron,2.624999999999999,0.8749999999999998,3
a.j,2.624999999999999,0.8749999999999998,3
brandon,2.624999999999999,0.8749999999999998,3
motherless,2.500000000000002,0.833333333333334,3
lex,2.500000000000002,0.833333333333334,3
popcorn,2.5,0.5,5
i.w.w,2.5,0.5,5
manni,2.5,0.5,5
good-sound,2.5,0.5,5
babylon,2.5,0.5,5
nomine,2.5,0.5,5
neonat,2.5,0.5,5
cabbi,2.5,0.5,5
nicodemu,2.5,0.5,5
7e7e,2.5,0.5,5
mop,2.5,0.5,5
blakley,2.5,0.5,5
term,2.4781341107871713,0.6195335276967928,4
b'nai,2.333333333333333,0.5833333333333333,4
b-2,2.3181818181818192,0.772727272727273,3
bart,2.3181818181818192,0.772727272727273,3
caitlyn,2.25,0.75,3
keta,2.25,0.75,3
isra,2.25,0.75,3
rut,2.25,0.75,3
orion,2.25,0.75,3
arco,2.25,0.75,3
sandinista,2.25,0.75,3
rieman,2.25,0.75,3
misaka,2.25,0.75,3
ganci,2.25,0.75,3
mini-capitalist,2.25,0.75,3
safia,2.25,0.75,3
summa,2.25,0.75,3
glenna,2.25,0.75,3
paygo,2.25,0.75,3
stratcom,2.25,0.75,3
done,2.1199850018747655,0.5299962504686914,4
aloha,2.099999999999998,0.6999999999999993,3
lauren,2.099999999999998,0.6999999999999993,3
—that,2.099999999999998,0.6999999999999993,3
uniform,2.08479020979021,0.69493006993007,3
sealtest,2.0833333333333353,0.416666666666667,5
duncan,2.0555555555555554,0.6851851851851851,3
right,2.0332922318125766,0.5083230579531441,4
privi,2.0,0.5,4
environ,2.0,0.5,4
le'ron,2.0,0.5,4
conduit,2.0,0.5,4
deduc,2.0,0.5,4
that,2.0,0.5,4
congreg,2.0,0.5,4
mayb,2.0,0.5,4
slummi,2.0,0.5,4
seedl,2.0,0.5,4
leven,2.0,0.5,4
nag,2.0,0.5,4
realiti,2.0,0.5,4
aliv,2.0,0.5,4
the,2.0,0.5,4
are,2.0,0.5,4
sam,1.9833333333333336,0.6611111111111112,3
budget,1.9751184834123228,0.4937796208530807,4
tail,1.9687499999999993,0.6562499999999998,3
sweeney,1.961538461538463,0.6538461538461543,3
marsha,1.9374999999999998,0.6458333333333333,3
sotomayor,1.9333333333333327,0.9666666666666663,2
veteran,1.9225352112676044,0.6408450704225348,3
four,1.9178856382978724,0.6392952127659575,3
shout,1.9166666666666683,0.4791666666666671,4
shall,1.9133771929824552,0.38267543859649106,5
go,1.9108935128518967,0.47772337821297417,4
priscilla,1.9000000000000004,0.9500000000000002,2
up-or-down,1.8906250000000002,0.9453125000000001,2
chrysler,1.8888888888888888,0.4722222222222222,4
lanier,1.8888888888888888,0.9444444444444444,2
hype,1.8749999999999993,0.6249999999999998,3
vita,1.8749999999999993,0.6249999999999998,3
shane,1.8749999999999993,0.6249999999999998,3
agoa,1.8749999999999991,0.9374999999999996,2
byron,1.8749999999999991,0.9374999999999996,2
branch,1.865546218487395,0.46638655462184875,4
react,1.859999999999999,0.6199999999999997,3
diaz-balart,1.8571428571428583,0.9285714285714292,2
metzenbaum,1.8571428571428583,0.9285714285714292,2
wyatt,1.8571428571428583,0.4642857142857146,4
captain,1.8409090909090917,0.6136363636363639,3
tramp,1.8333333333333326,0.6111111111111108,3
ultimatum,1.8333333333333324,0.9166666666666662,2
nystul,1.8333333333333324,0.9166666666666662,2
bendiga,1.8333333333333324,0.9166666666666662,2
mccormick,1.8333333333333324,0.9166666666666662,2
nunn,1.8333333333333324,0.4583333333333331,4
abm,1.8333333333333324,0.9166666666666662,2
demint,1.8333333333333324,0.9166666666666662,2
aft,1.8333333333333324,0.9166666666666662,2
fletcher,1.8124999999999987,0.9062499999999993,2
